eans,sku,brand,title,categoryPath,url,price
8059591580486,77,Salugea,Serena Notte,Prodotti Singoli Meno Promo (tool) > Prodotti Naturali > Integratori a base di Valeriana > Integratori Naturali Salugea > Integratori Naturali adatti a Vegani e Vegetariani > Integratori per il Sonno 100% Naturali > Integratori contro lo Stress 100% Naturali > Tutti meno programmi > Coupon applicabile > Giornata della Felicità > Integratori a base di Escolzia > Addio stress da rientro - Oggi fino al 20% di sconto! > Tutti meno memosan > All products > Integratori per Uomini > Integratori a base di Luppolo > Integratori per la Mente 100% Naturali > Integratori a base di Tiglio > 13° Compleanno Salugea > Integratori per il Sistema Nervoso,https://salugea.com/products/serena-notte?variant=31926704504897&om=14641,30.88
8059591580493,78,Salugea,Sport 1 Endurance,Integratori a base di Suma > Tutti meno programmi > Integratori Naturali adatti a Vegani e Vegetariani > Promo Energia Salugea > Integratori Energizzanti Naturali > Tutti meno memosan > Coupon applicabile > Integratori Naturali Salugea > All products > Integratori per muscoli e nervi > Integratori a base di Cordyceps > Prodotti Singoli Meno Promo (tool) > 13° Compleanno Salugea > Prodotti Naturali > Integratori a base di Damiana > Integratori a base di Eleuterococco > Integratori per Sportivi,https://salugea.com/products/sport-1-endurance?variant=31926797336641&om=14641,29.28
8059591580509,79,Salugea,Sport 2 Recupero,Integratori Energizzanti Naturali > 13° Compleanno Salugea > Integratori Naturali adatti a Vegani e Vegetariani > Integratori Naturali Salugea > Prodotti Singoli Meno Promo (tool) > Tutti meno programmi > Integratori a base di Sambuco > Promo Energia Salugea > Integratori per Sportivi > Coupon applicabile > Integratori a base di Spirulina > Integratori a base di Melograno > All products > Tutti meno memosan > Integratori a base di Maqui > Integratori a base di Semi d'Uva > Prodotti Naturali,https://salugea.com/products/sport-2-recupero?variant=31926801301569&om=14641,29.28
8059591580516,81,Salugea,Epasal,"13° Compleanno Salugea > not-on-sale-welcome > Tutti meno programmi > Remise en forme > Prodotti Naturali > All products > Integratori per Capelli > Integratori a base di Cardo Mariano > Integratori per il Fegato > Integratori Naturali adatti a Vegani e Vegetariani > Integratori a base di Fumaria > Integratori a base di Olivattiva®70 > Integratori per la Pelle Naturali > Tutti meno memosan > Promo Stomaco e Intestino > Integratori a base di Fillanto > Depurazione 100% Naturale > Integratori Depurativi > Integratori a base di Carciofo > Integratori per il Colesterolo e i Trigliceridi > Prodotti Singoli Meno Promo (tool) > Integratori Anticellulite > Integratori Naturali Salugea > Coupon applicabile > Beauty Week | Benessere dentro, Bellezza fuori",https://salugea.com/products/epasal?variant=31926534045761&om=14641,34.24
8059591580530,83,Salugea,Sincrovir,Tutti meno memosan > All products > Coupon applicabile > Integratori a base di L-Ornitina > Integratori a base di L-Arginina > Integratori Naturali Salugea > Integratori a base di Maca > Integratori a base di Catuaba > Prodotti Singoli Meno Promo (tool) > Prodotti Naturali > Integratori a base di Muira Puama > Integratori a base di Pino Marittimo > Integratori a base di Peperoncino > Integratori a base di L-Citrullina > Integratori a base di Glutatione Ridotto > Integratori a base di Ginseng > Tutti meno programmi > Integratori per Uomini > Integratori per l'apparato riproduttivo > Integratori a base di Acido L-Aspartico > Energea e Sincrovir,https://salugea.com/products/sincrovir?variant=31926714335297&om=14641,42.08
8059591580547,84,Salugea,Sanaos Nuova Formula,Prodotti Naturali > Prodotti Singoli Meno Promo (tool) > Tutti meno programmi > All products > 13° Compleanno Salugea > Tutti meno memosan > Integratori a base di Mirra > Integratori per Anziani > Integratori a base di Frassino > Integratori a base di Artiglio del Diavolo > Integratori a base di Boswellia > Integratori a base di Semi d'Uva > Coupon applicabile > Integratori Naturali Salugea > Integratori per l'apparato osteo-articolare > Integratori Naturali adatti a Vegani e Vegetariani > Integratori per Sportivi > Integratori per muscoli e nervi > Integratori per le Ossa e le Articolazioni 100% Naturali,https://salugea.com/products/sanaos?variant=31926631366721&om=14641,30.72
8059591580554,85,Salugea,Immuno Bimbi,Promo difese per custom promo > Integratori a base di Sambuco > Coupon applicabile > Integratori a base di Propoli > Integratori di Vitamina D naturale > Integratori di Vitamina C Naturale > Prodotti Singoli Meno Promo (tool) > Integratori di Selenio > All products > Settimana delle Difese Immunitarie > Tutti meno memosan > Integratori a base di Astragalo > Integratori di Zinco > Tutti meno programmi > Integratori per Bambini > Integratori per le Difese Immunitarie > Prodotti Naturali > Integratori a base di Rosa canina > Integratori per il Sistema immunitario > Integratori a base di Coriolus > Integratori Naturali Salugea > not-on-sale-welcome,https://salugea.com/products/immuno-bimbi?variant=54786603614593&om=14641,23.84
8059591580561,86,Salugea,Glutatione Forte,13° Compleanno Salugea > Integratori per Sportivi > Settimana delle Difese Immunitarie > Depurazione 100% Naturale > Integratori per Uomini > Integratori Antiossidanti e Antiaging > Coupon applicabile > Integratori per Donne > Remise en forme > Integratori per il Fegato > Integratori Depurativi > All products > Integratori Naturali Salugea > Integratori per Anziani > Promo difese per custom promo > Integratori per le Difese Immunitarie > Tutti meno programmi > Integratori per la Mente 100% Naturali > Integratori Naturali adatti a Vegani e Vegetariani > Integratori per la Stanchezza > Integratori per l'abbronzatura > Integratori per le Ossa e le Articolazioni 100% Naturali > Integratori per la Pelle Naturali > Integratori a base di Glutatione Ridotto > Integratori a base di Quercetina > Integratori a base di Naringenina > Integratori a base di OxiP® > Integratori di Selenio > Integratori per l'apparato cardiocircolatorio > Prodotti Naturali > Prodotti Singoli Meno Promo (tool) > Integratori per il Sistema immunitario > Tutti meno memosan,https://salugea.com/products/glutatione-forte?variant=39841601192001&om=14641,36.16
8059591580578,88,Salugea,Liposan Forte Nuova Formula,Tutti meno programmi > Coupon applicabile > Integratori Naturali Salugea > Prodotti Singoli Meno Promo (tool) > 13° Compleanno Salugea > Integratori per il Colesterolo e i Trigliceridi > Integratori Naturali adatti a Vegani e Vegetariani > Integratori per l'apparato cardiocircolatorio > Integratori a base di Cardo Mariano > Integratori a base di Crespino > Integratori a base di Aglio nero > Integratori a base di Riso rosso fermentato > Integratori a base di Rosmarino > All products > Tutti meno memosan > Prodotti Naturali > not-on-sale-welcome,https://salugea.com/products/liposan-forte?variant=31926566387777&om=14641,31.68
8059591580585,89,Salugea,Succo di Acai Bio,13° Compleanno Salugea > Prodotti Singoli Meno Promo (tool) > Coupon applicabile > Tutti meno programmi > All products > Integratori Naturali Salugea > Prodotti Naturali > Tutti meno memosan > Integratori Naturali adatti a Vegani e Vegetariani > Integratori per il Cuore > Succhi Biologici Salugea > Integratori per il Colesterolo e i Trigliceridi > Integratori per l'apparato cardiocircolatorio,https://salugea.com/products/succo-di-acai?variant=39254126100545&om=14641,23.04
